  UID   GID     PID    PPID ELAPSED COMMAND
 1000  1000    9994    9968     132 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=3408374843022196838,16948138763028709306,131072 --gpu-preferences=OAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAA== --shared-files
 1000  1000    9997    9957     132 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=3408374843022196838,16948138763028709306,131072 --lang=en-GB --service-sandbox-type=network --shared-files=v8_context_snapshot_data:100
 1000  1000   10012    9973     132 /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --field-trial-handle=3408374843022196838,16948138763028709306,131072 --lang=en-GB --service-sandbox-type=utility --shared-files=v8_context_snapshot_data:100
 1000  1000   10038    9973     132 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3408374843022196838,16948138763028709306,131072 --lang=en-GB --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
 1000  1000   10072    9973     132 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3408374843022196838,16948138763028709306,131072 --lang=en-GB --extension-process --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
 1000  1000   10244    9973     124 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3408374843022196838,16948138763028709306,131072 --lang=en-GB --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=14 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
 1000  1000   10259    9973     124 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3408374843022196838,16948138763028709306,131072 --lang=en-GB --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=15 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
 1000  1000   10283    9973     122 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3408374843022196838,16948138763028709306,131072 --lang=en-GB --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=16 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
 1000  1000   10298    9973     122 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3408374843022196838,16948138763028709306,131072 --lang=en-GB --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=17 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
 1000  1000   10340    9973     116 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3408374843022196838,16948138763028709306,131072 --lang=en-GB --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=19 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
 1000  1000   10523     918      60 /usr/bin/anydesk --backend
 1000  1000   10971    1436      34 /home/ria/go/bin/gocode-gomod -s -sock unix -addr 127.0.0.1:37373
 1000  1000   11430    8801       0 ps -aeo uid,gid,pid,ppid,etimes,command
